date,daily,cumulative,weekly
200308,2,2,2
200309,5,7,7
200310,3,10,10
200311,10,20,20
200312,21,41,41
200313,33,74,74
200314,19,93,93
200315,29,122,120
200316,55,177,170
200317,99,276,266
200318,226,502,482
200319,256,758,717
200320,350,1108,1034
200321,214,1322,1229
200322,282,1604,1482
200323,397,2001,1824
200324,593,2594,2318
200325,519,3113,2611
200326,915,4028,3270
200327,1128,5156,4048
200328,728,5884,4562
200329,1009,6893,5289
200330,1176,8069,6068
200331,1298,9367,6773
200401,1290,10657,7544
200402,1659,12316,8288
200403,1503,13819,8663
200404,1400,15219,9335
200405,1417,16636,9743
200406,1528,18164,10095
200407,1174,19338,9971
200408,1194,20532,9875
200409,1190,21722,9406
200410,1267,22989,9170
200411,796,23785,8566
200412,890,24675,8039
200413,1125,25800,7636
200414,910,26710,7372
200415,1411,28121,7589
200416,967,29088,7366
200417,923,30011,7022
200418,471,30482,6697
200419,611,31093,6418
200420,878,31971,6171
200421,1082,33053,6343
200422,1142,34195,6074
200423,1186,35381,6293
200424,954,36335,6324
200425,433,36768,6286
200426,533,37301,6208
200427,723,38024,6053
200428,964,38988,5935
200429,982,39970,5775
200430,762,40732,5351
200501,882,41614,5279
200502,638,42252,5484
200503,388,42640,5339
200504,367,43007,4983
200505,586,43593,4605
200506,736,44329,4359
200507,581,44910,4178
200508,462,45372,3758
200509,374,45746,3494
200510,327,46073,3433
200511,421,46494,3487
200512,404,46898,3305
200513,600,47498,3169
200514,859,48357,3447
200515,388,48745,3373
200516,424,49169,3423
200517,388,49557,3484
