date,age,cases
200308,0-10,0
200308,10-20,0
200308,20-30,0
200308,30-40,0
200308,40-50,0
200308,50-60,0
200308,60-70,0
200308,70-80,2
200308,80+,0
200309,0-10,0
200309,10-20,0
200309,20-30,0
200309,30-40,1
200309,40-50,0
200309,50-60,1
200309,60-70,2
200309,70-80,0
200309,80+,1
200310,0-10,0
200310,10-20,0
200310,20-30,0
200310,30-40,0
200310,40-50,0
200310,50-60,1
200310,60-70,1
200310,70-80,1
200310,80+,0
200311,0-10,0
200311,10-20,1
200311,20-30,1
200311,30-40,1
200311,40-50,1
200311,50-60,1
200311,60-70,4
200311,70-80,0
200311,80+,1
200312,0-10,1
200312,10-20,0
200312,20-30,3
200312,30-40,2
200312,40-50,6
200312,50-60,1
200312,60-70,6
200312,70-80,2
200312,80+,0
200313,0-10,0
200313,10-20,0
200313,20-30,8
200313,30-40,5
200313,40-50,5
200313,50-60,4
200313,60-70,6
200313,70-80,3
200313,80+,2
200314,0-10,0
200314,10-20,2
200314,20-30,2
200314,30-40,3
200314,40-50,3
200314,50-60,2
200314,60-70,6
200314,70-80,0
200314,80+,1
200315,0-10,0
200315,10-20,0
200315,20-30,4
200315,30-40,4
200315,40-50,3
200315,50-60,7
200315,60-70,6
200315,70-80,3
200315,80+,2
200316,0-10,0
200316,10-20,0
200316,20-30,4
200316,30-40,3
200316,40-50,20
200316,50-60,15
200316,60-70,8
200316,70-80,2
200316,80+,3
200317,0-10,0
200317,10-20,1
200317,20-30,9
200317,30-40,16
200317,40-50,17
200317,50-60,21
200317,60-70,19
200317,70-80,11
200317,80+,5
200318,0-10,0
200318,10-20,4
200318,20-30,22
200318,30-40,43
200318,40-50,52
200318,50-60,49
200318,60-70,28
200318,70-80,18
200318,80+,11
200319,0-10,2
200319,10-20,6
200319,20-30,16
200319,30-40,25
200319,40-50,48
200319,50-60,42
200319,60-70,52
200319,70-80,42
200319,80+,22
200320,0-10,1
200320,10-20,4
200320,20-30,24
200320,30-40,40
200320,40-50,66
200320,50-60,69
200320,60-70,75
200320,70-80,38
200320,80+,33
200321,0-10,1
200321,10-20,1
200321,20-30,20
200321,30-40,28
200321,40-50,26
200321,50-60,41
200321,60-70,43
200321,70-80,36
200321,80+,18
200322,0-10,1
200322,10-20,1
200322,20-30,21
200322,30-40,28
200322,40-50,50
200322,50-60,50
200322,60-70,64
200322,70-80,48
200322,80+,18
200323,0-10,1
200323,10-20,6
200323,20-30,29
200323,30-40,42
200323,40-50,71
200323,50-60,69
200323,60-70,70
200323,70-80,77
200323,80+,32
200324,0-10,0
200324,10-20,4
200324,20-30,29
200324,30-40,61
200324,40-50,80
200324,50-60,124
200324,60-70,128
200324,70-80,106
200324,80+,58
200325,0-10,2
200325,10-20,1
200325,20-30,34
200325,30-40,51
200325,40-50,77
200325,50-60,108
200325,60-70,108
200325,70-80,85
200325,80+,45
200326,0-10,1
200326,10-20,7
200326,20-30,66
200326,30-40,115
200326,40-50,135
200326,50-60,174
200326,60-70,173
200326,70-80,126
200326,80+,88
200327,0-10,2
200327,10-20,6
200327,20-30,104
200327,30-40,162
200327,40-50,200
200327,50-60,233
200327,60-70,181
200327,70-80,130
200327,80+,89
200328,0-10,2
200328,10-20,6
200328,20-30,74
200328,30-40,91
200328,40-50,100
200328,50-60,137
200328,60-70,131
200328,70-80,102
200328,80+,74
200329,0-10,1
200329,10-20,8
200329,20-30,96
200329,30-40,130
200329,40-50,157
200329,50-60,210
200329,60-70,184
200329,70-80,115
200329,80+,92
200330,0-10,5
200330,10-20,8
200330,20-30,96
200330,30-40,144
200330,40-50,206
200330,50-60,217
200330,60-70,192
200330,70-80,185
200330,80+,104
200331,0-10,7
200331,10-20,11
200331,20-30,133
200331,30-40,150
200331,40-50,225
200331,50-60,253
200331,60-70,220
200331,70-80,169
200331,80+,110
200401,0-10,2
200401,10-20,11
200401,20-30,134
200401,30-40,150
200401,40-50,191
200401,50-60,259
200401,60-70,231
200401,70-80,158
200401,80+,130
200402,0-10,7
200402,10-20,24
200402,20-30,155
200402,30-40,202
200402,40-50,290
200402,50-60,364
200402,60-70,289
200402,70-80,172
200402,80+,129
200403,0-10,5
200403,10-20,14
200403,20-30,119
200403,30-40,185
200403,40-50,237
200403,50-60,291
200403,60-70,284
200403,70-80,192
200403,80+,149
200404,0-10,2
200404,10-20,14
200404,20-30,124
200404,30-40,197
200404,40-50,231
200404,50-60,279
200404,60-70,266
200404,70-80,155
200404,80+,112
200405,0-10,1
200405,10-20,10
200405,20-30,126
200405,30-40,207
200405,40-50,280
200405,50-60,274
200405,60-70,241
200405,70-80,152
200405,80+,115
200406,0-10,3
200406,10-20,21
200406,20-30,110
200406,30-40,183
200406,40-50,245
200406,50-60,323
200406,60-70,263
200406,70-80,188
200406,80+,159
200407,0-10,3
200407,10-20,16
200407,20-30,114
200407,30-40,143
200407,40-50,177
200407,50-60,187
200407,60-70,209
200407,70-80,149
200407,80+,158
200408,0-10,1
200408,10-20,14
200408,20-30,95
200408,30-40,135
200408,40-50,140
200408,50-60,203
200408,60-70,230
200408,70-80,167
200408,80+,187
200409,0-10,4
200409,10-20,13
200409,20-30,100
200409,30-40,134
200409,40-50,176
200409,50-60,223
200409,60-70,196
200409,70-80,141
200409,80+,184
200410,0-10,3
200410,10-20,18
200410,20-30,130
200410,30-40,140
200410,40-50,174
200410,50-60,239
200410,60-70,219
200410,70-80,135
200410,80+,171
200411,0-10,2
200411,10-20,13
200411,20-30,75
200411,30-40,98
200411,40-50,115
200411,50-60,148
200411,60-70,129
200411,70-80,101
200411,80+,95
200412,0-10,2
200412,10-20,9
200412,20-30,95
200412,30-40,116
200412,40-50,124
200412,50-60,153
200412,60-70,154
200412,70-80,103
200412,80+,119
200413,0-10,2
200413,10-20,15
200413,20-30,102
200413,30-40,106
200413,40-50,167
200413,50-60,213
200413,60-70,190
200413,70-80,155
200413,80+,148
200414,0-10,3
200414,10-20,10
200414,20-30,91
200414,30-40,122
200414,40-50,131
200414,50-60,168
200414,60-70,147
200414,70-80,103
200414,80+,105
200415,0-10,3
200415,10-20,19
200415,20-30,124
200415,30-40,172
200415,40-50,216
200415,50-60,236
200415,60-70,237
200415,70-80,173
200415,80+,213
200416,0-10,4
200416,10-20,18
200416,20-30,83
200416,30-40,120
200416,40-50,143
200416,50-60,161
200416,60-70,166
200416,70-80,123
200416,80+,119
200417,0-10,5
200417,10-20,16
200417,20-30,102
200417,30-40,99
200417,40-50,119
200417,50-60,150
200417,60-70,131
200417,70-80,102
200417,80+,169
200418,0-10,7
200418,10-20,8
200418,20-30,34
200418,30-40,51
200418,40-50,70
200418,50-60,78
200418,60-70,67
200418,70-80,43
200418,80+,85
200419,0-10,2
200419,10-20,12
200419,20-30,51
200419,30-40,69
200419,40-50,82
200419,50-60,115
200419,60-70,107
200419,70-80,77
200419,80+,91
200420,0-10,1
200420,10-20,17
200420,20-30,100
200420,30-40,98
200420,40-50,119
200420,50-60,141
200420,60-70,149
200420,70-80,99
200420,80+,130
200421,0-10,7
200421,10-20,24
200421,20-30,140
200421,30-40,134
200421,40-50,137
200421,50-60,203
200421,60-70,157
200421,70-80,109
200421,80+,150
200422,0-10,5
200422,10-20,19
200422,20-30,118
200422,30-40,125
200422,40-50,170
200422,50-60,185
200422,60-70,156
200422,70-80,112
200422,80+,179
200423,0-10,10
200423,10-20,26
200423,20-30,132
200423,30-40,136
200423,40-50,145
200423,50-60,154
200423,60-70,173
200423,70-80,106
200423,80+,169
200424,0-10,10
200424,10-20,30
200424,20-30,104
200424,30-40,109
200424,40-50,118
200424,50-60,117
200424,60-70,123
200424,70-80,110
200424,80+,136
200425,0-10,2
200425,10-20,11
200425,20-30,56
200425,30-40,58
200425,40-50,59
200425,50-60,52
200425,60-70,71
200425,70-80,35
200425,80+,68
200426,0-10,6
200426,10-20,11
200426,20-30,85
200426,30-40,83
200426,40-50,78
200426,50-60,82
200426,60-70,72
200426,70-80,41
200426,80+,59
200427,0-10,5
200427,10-20,14
200427,20-30,93
200427,30-40,90
200427,40-50,107
200427,50-60,118
200427,60-70,100
200427,70-80,75
200427,80+,110
200428,0-10,8
200428,10-20,17
200428,20-30,99
200428,30-40,127
200428,40-50,142
200428,50-60,130
200428,60-70,147
200428,70-80,70
200428,80+,126
200429,0-10,8
200429,10-20,17
200429,20-30,96
200429,30-40,118
200429,40-50,109
200429,50-60,139
200429,60-70,118
200429,70-80,90
200429,80+,97
200430,0-10,7
200430,10-20,31
200430,20-30,93
200430,30-40,92
200430,40-50,126
200430,50-60,111
200430,60-70,64
200430,70-80,79
200430,80+,97
200501,0-10,4
200501,10-20,33
200501,20-30,106
200501,30-40,97
200501,40-50,96
200501,50-60,110
200501,60-70,106
200501,70-80,59
200501,80+,86
200502,0-10,17
200502,10-20,26
200502,20-30,92
200502,30-40,80
200502,40-50,75
200502,50-60,87
200502,60-70,91
200502,70-80,56
200502,80+,83
200503,0-10,6
200503,10-20,15
200503,20-30,79
200503,30-40,67
200503,40-50,62
200503,50-60,59
200503,60-70,35
200503,70-80,42
200503,80+,23
200504,0-10,3
200504,10-20,10
200504,20-30,64
200504,30-40,50
200504,40-50,50
200504,50-60,79
200504,60-70,43
200504,70-80,22
200504,80+,32
200505,0-10,9
200505,10-20,23
200505,20-30,66
200505,30-40,97
200505,40-50,104
200505,50-60,83
200505,60-70,72
200505,70-80,64
200505,80+,58
200506,0-10,6
200506,10-20,58
200506,20-30,103
200506,30-40,85
200506,40-50,86
200506,50-60,85
200506,60-70,99
200506,70-80,49
200506,80+,87
200507,0-10,6
200507,10-20,27
200507,20-30,88
200507,30-40,79
200507,40-50,75
200507,50-60,90
200507,60-70,66
200507,70-80,30
200507,80+,63
200508,0-10,5
200508,10-20,16
200508,20-30,51
200508,30-40,64
200508,40-50,85
200508,50-60,80
200508,60-70,59
200508,70-80,46
200508,80+,61
200509,0-10,7
200509,10-20,17
200509,20-30,60
200509,30-40,54
200509,40-50,69
200509,50-60,73
200509,60-70,44
200509,70-80,23
200509,80+,32
200510,0-10,5
200510,10-20,23
200510,20-30,39
200510,30-40,58
200510,40-50,56
200510,50-60,43
200510,60-70,48
200510,70-80,28
200510,80+,29
200511,0-10,7
200511,10-20,42
200511,20-30,68
200511,30-40,58
200511,40-50,67
200511,50-60,63
200511,60-70,59
200511,70-80,32
200511,80+,44
200512,0-10,9
200512,10-20,17
200512,20-30,50
200512,30-40,68
200512,40-50,67
200512,50-60,66
200512,60-70,66
200512,70-80,31
200512,80+,42
200513,0-10,14
200513,10-20,32
200513,20-30,84
200513,30-40,102
200513,40-50,100
200513,50-60,94
200513,60-70,64
200513,70-80,49
200513,80+,72
200514,0-10,15
200514,10-20,60
200514,20-30,155
200514,30-40,127
200514,40-50,155
200514,50-60,130
200514,60-70,104
200514,70-80,45
200514,80+,63
200515,0-10,4
200515,10-20,33
200515,20-30,79
200515,30-40,54
200515,40-50,55
200515,50-60,70
200515,60-70,43
200515,70-80,25
200515,80+,48
200516,0-10,8
200516,10-20,19
200516,20-30,67
200516,30-40,54
200516,40-50,50
200516,50-60,34
200516,60-70,51
200516,70-80,29
200516,80+,30
200517,0-10,7
200517,10-20,21
200517,20-30,51
200517,30-40,36
200517,40-50,44
200517,50-60,52
200517,60-70,36
200517,70-80,27
200517,80+,42
200518,0-10,4
200518,10-20,17
200518,20-30,51
200518,30-40,53
200518,40-50,39
200518,50-60,49
200518,60-70,45
200518,70-80,35
200518,80+,62
200519,0-10,11
200519,10-20,25
200519,20-30,78
200519,30-40,70
200519,40-50,68
200519,50-60,72
200519,60-70,58
200519,70-80,31
200519,80+,67
200520,0-10,15
200520,10-20,29
200520,20-30,81
200520,30-40,82
200520,40-50,60
200520,50-60,88
200520,60-70,57
200520,70-80,35
200520,80+,42
200521,0-10,4
200521,10-20,27
200521,20-30,63
200521,30-40,62
200521,40-50,65
200521,50-60,42
200521,60-70,47
200521,70-80,30
200521,80+,34
200522,0-10,12
200522,10-20,27
200522,20-30,80
200522,30-40,65
200522,40-50,67
200522,50-60,42
200522,60-70,38
200522,70-80,33
200522,80+,22
200523,0-10,9
200523,10-20,14
200523,20-30,59
200523,30-40,67
200523,40-50,46
200523,50-60,59
200523,60-70,30
200523,70-80,27
200523,80+,14
200524,0-10,6
200524,10-20,14
200524,20-30,37
200524,30-40,39
200524,40-50,34
200524,50-60,36
200524,60-70,30
200524,70-80,20
200524,80+,11
200525,0-10,6
200525,10-20,11
200525,20-30,27
200525,30-40,25
200525,40-50,29
200525,50-60,25
200525,60-70,23
200525,70-80,17
200525,80+,20
200526,0-10,1
200526,10-20,9
200526,20-30,32
200526,30-40,31
200526,40-50,25
200526,50-60,34
200526,60-70,36
200526,70-80,24
200526,80+,22
200527,0-10,11
200527,10-20,23
200527,20-30,39
200527,30-40,39
200527,40-50,50
200527,50-60,39
200527,60-70,37
200527,70-80,21
200527,80+,26
200528,0-10,2
200528,10-20,24
200528,20-30,62
200528,30-40,49
200528,40-50,56
200528,50-60,46
200528,60-70,37
200528,70-80,25
200528,80+,33
200529,0-10,8
200529,10-20,23
200529,20-30,50
200529,30-40,48
200529,40-50,46
200529,50-60,54
200529,60-70,35
200529,70-80,28
200529,80+,37
200530,0-10,4
200530,10-20,9
200530,20-30,31
200530,30-40,19
200530,40-50,19
200530,50-60,21
200530,60-70,35
200530,70-80,17
200530,80+,42
200531,0-10,4
200531,10-20,9
200531,20-30,37
200531,30-40,26
200531,40-50,33
200531,50-60,33
200531,60-70,46
200531,70-80,41
200531,80+,57
200601,0-10,2
200601,10-20,8
200601,20-30,34
200601,30-40,18
200601,40-50,25
200601,50-60,21
200601,60-70,19
200601,70-80,6
200601,80+,10
200602,0-10,6
200602,10-20,18
200602,20-30,39
200602,30-40,34
200602,40-50,30
200602,50-60,35
200602,60-70,29
200602,70-80,24
200602,80+,28
200603,0-10,2
200603,10-20,18
200603,20-30,31
200603,30-40,30
200603,40-50,27
200603,50-60,28
200603,60-70,29
200603,70-80,13
200603,80+,18
200604,0-10,2
200604,10-20,15
200604,20-30,43
200604,30-40,37
200604,40-50,26
200604,50-60,28
200604,60-70,18
200604,70-80,12
200604,80+,5
200605,0-10,7
200605,10-20,13
200605,20-30,46
200605,30-40,33
200605,40-50,39
200605,50-60,33
200605,60-70,35
200605,70-80,13
200605,80+,11
200606,0-10,3
200606,10-20,11
200606,20-30,24
200606,30-40,22
200606,40-50,23
200606,50-60,22
200606,60-70,12
200606,70-80,15
200606,80+,11
200607,0-10,2
200607,10-20,7
200607,20-30,15
200607,30-40,24
200607,40-50,13
200607,50-60,13
200607,60-70,11
200607,70-80,4
200607,80+,7
200608,0-10,0
200608,10-20,4
200608,20-30,11
200608,30-40,13
200608,40-50,8
200608,50-60,8
200608,60-70,9
200608,70-80,4
200608,80+,1
