date,gender,cases
200308,F,1
200308,M,1
200309,F,3
200309,M,2
200310,F,1
200310,M,2
200311,F,5
200311,M,5
200312,F,11
200312,M,10
200313,F,13
200313,M,20
200314,F,8
200314,M,11
200315,F,12
200315,M,17
200316,F,27
200316,M,28
200317,F,47
200317,M,52
200318,F,113
200318,M,114
200319,F,130
200319,M,125
200320,F,168
200320,M,182
200321,F,115
200321,M,99
200322,F,138
200322,M,143
200323,F,197
200323,M,200
200324,F,306
200324,M,284
200325,F,249
200325,M,262
200326,F,460
200326,M,425
200327,F,568
200327,M,539
200328,F,374
200328,M,343
200329,F,508
200329,M,485
200330,F,620
200330,M,537
200331,F,676
200331,M,602
200401,F,696
200401,M,570
200402,F,915
200402,M,717
200403,F,835
200403,M,641
200404,F,762
200404,M,618
200405,F,796
200405,M,610
200406,F,853
200406,M,642
200407,F,650
200407,M,506
200408,F,652
200408,M,520
200409,F,692
200409,M,479
200410,F,698
200410,M,531
200411,F,484
200411,M,292
200412,F,505
200412,M,370
200413,F,676
200413,M,422
200414,F,492
200414,M,388
200415,F,849
200415,M,544
200416,F,557
200416,M,380
200417,F,512
200417,M,381
200418,F,265
200418,M,178
200419,F,333
200419,M,273
200420,F,475
200420,M,379
200421,F,585
200421,M,476
200422,F,627
200422,M,442
200423,F,646
200423,M,405
200424,F,526
200424,M,331
200425,F,251
200425,M,161
200426,F,269
200426,M,248
200427,F,418
200427,M,294
200428,F,488
200428,M,378
200429,F,453
200429,M,339
200430,F,398
200430,M,302
200501,F,404
200501,M,293
200502,F,320
200502,M,287
200503,F,205
200503,M,183
200504,F,188
200504,M,165
200505,F,346
200505,M,230
200506,F,354
200506,M,304
200507,F,288
200507,M,236
200508,F,258
200508,M,209
200509,F,221
200509,M,158
200510,F,202
200510,M,127
200511,F,236
200511,M,204
200512,F,225
200512,M,191
200513,F,331
200513,M,280
200514,F,480
200514,M,374
200515,F,245
200515,M,166
200516,F,201
200516,M,141
200517,F,180
200517,M,136
200518,F,206
200518,M,149
200519,F,279
200519,M,201
200520,F,282
200520,M,207
200521,F,216
200521,M,158
200522,F,219
200522,M,167
200523,F,184
200523,M,141
200524,F,121
200524,M,106
200525,F,105
200525,M,78
200526,F,118
200526,M,96
200527,F,157
200527,M,128
200528,F,180
200528,M,154
200529,F,184
200529,M,145
200530,F,111
200530,M,86
200531,F,163
200531,M,123
200601,F,81
200601,M,62
200602,F,145
200602,M,98
200603,F,123
200603,M,73
200604,F,88
200604,M,98
200605,F,123
200605,M,107
200606,F,71
200606,M,72
200607,F,49
200607,M,47
200608,F,27
200608,M,31
