date,race,cases
200308,B,0
200308,L,0
200308,O,0
200308,U,0
200308,W,2
200309,B,0
200309,L,0
200309,O,0
200309,U,0
200309,W,5
200310,B,0
200310,L,0
200310,O,0
200310,U,0
200310,W,3
200311,B,2
200311,L,0
200311,O,0
200311,U,1
200311,W,7
200312,B,8
200312,L,0
200312,O,2
200312,U,0
200312,W,11
200313,B,10
200313,L,0
200313,O,3
200313,U,2
200313,W,18
200314,B,13
200314,L,1
200314,O,2
200314,U,2
200314,W,1
200315,B,15
200315,L,0
200315,O,2
200315,U,1
200315,W,11
200316,B,24
200316,L,0
200316,O,3
200316,U,0
200316,W,28
200317,B,37
200317,L,2
200317,O,7
200317,U,12
200317,W,41
200318,B,103
200318,L,6
200318,O,15
200318,U,39
200318,W,64
200319,B,131
200319,L,4
200319,O,21
200319,U,53
200319,W,46
200320,B,172
200320,L,9
200320,O,38
200320,U,45
200320,W,86
200321,B,80
200321,L,7
200321,O,26
200321,U,32
200321,W,69
200322,B,154
200322,L,5
200322,O,14
200322,U,38
200322,W,70
200323,B,195
200323,L,7
200323,O,27
200323,U,44
200323,W,124
200324,B,297
200324,L,13
200324,O,40
200324,U,59
200324,W,181
200325,B,249
200325,L,9
200325,O,26
200325,U,59
200325,W,168
200326,B,399
200326,L,18
200326,O,69
200326,U,113
200326,W,286
200327,B,451
200327,L,27
200327,O,93
200327,U,182
200327,W,354
200328,B,311
200328,L,15
200328,O,69
200328,U,60
200328,W,262
200329,B,468
200329,L,27
200329,O,65
200329,U,94
200329,W,339
200330,B,475
200330,L,29
200330,O,108
200330,U,111
200330,W,434
200331,B,457
200331,L,25
200331,O,147
200331,U,154
200331,W,495
200401,B,554
200401,L,27
200401,O,110
200401,U,139
200401,W,436
200402,B,626
200402,L,32
200402,O,234
200402,U,256
200402,W,484
200403,B,546
200403,L,37
200403,O,149
200403,U,242
200403,W,502
200404,B,474
200404,L,37
200404,O,222
200404,U,290
200404,W,357
200405,B,536
200405,L,25
200405,O,239
200405,U,262
200405,W,344
200406,B,542
200406,L,39
200406,O,198
200406,U,202
200406,W,514
200407,B,351
200407,L,41
200407,O,140
200407,U,184
200407,W,440
200408,B,382
200408,L,30
200408,O,132
200408,U,156
200408,W,472
200409,B,371
200409,L,37
200409,O,144
200409,U,147
200409,W,472
200410,B,350
200410,L,39
200410,O,164
200410,U,200
200410,W,476
200411,B,252
200411,L,21
200411,O,95
200411,U,108
200411,W,300
200412,B,289
200412,L,18
200412,O,139
200412,U,144
200412,W,285
200413,B,328
200413,L,26
200413,O,178
200413,U,163
200413,W,403
200414,B,259
200414,L,30
200414,O,130
200414,U,128
200414,W,333
200415,B,381
200415,L,47
200415,O,199
200415,U,174
200415,W,592
200416,B,250
200416,L,46
200416,O,142
200416,U,103
200416,W,396
200417,B,237
200417,L,49
200417,O,116
200417,U,110
200417,W,381
200418,B,90
200418,L,38
200418,O,69
200418,U,44
200418,W,202
200419,B,198
200419,L,53
200419,O,77
200419,U,57
200419,W,221
200420,B,235
200420,L,58
200420,O,86
200420,U,92
200420,W,383
200421,B,300
200421,L,74
200421,O,151
200421,U,139
200421,W,397
200422,B,277
200422,L,55
200422,O,152
200422,U,183
200422,W,402
200423,B,247
200423,L,76
200423,O,149
200423,U,133
200423,W,446
200424,B,200
200424,L,68
200424,O,139
200424,U,112
200424,W,338
200425,B,79
200425,L,54
200425,O,77
200425,U,45
200425,W,157
200426,B,123
200426,L,62
200426,O,65
200426,U,63
200426,W,204
200427,B,159
200427,L,65
200427,O,112
200427,U,90
200427,W,286
200428,B,208
200428,L,110
200428,O,102
200428,U,119
200428,W,327
200429,B,211
200429,L,90
200429,O,78
200429,U,91
200429,W,322
200430,B,171
200430,L,72
200430,O,100
200430,U,97
200430,W,260
200501,B,159
200501,L,92
200501,O,97
200501,U,89
200501,W,260
200502,B,142
200502,L,85
200502,O,64
200502,U,116
200502,W,200
200503,B,86
200503,L,72
200503,O,62
200503,U,61
200503,W,107
200504,B,73
200504,L,55
200504,O,40
200504,U,54
200504,W,131
200505,B,151
200505,L,72
200505,O,77
200505,U,58
200505,W,218
200506,B,144
200506,L,86
200506,O,104
200506,U,113
200506,W,211
200507,B,113
200507,L,87
200507,O,71
200507,U,73
200507,W,180
200508,B,105
200508,L,61
200508,O,54
200508,U,53
200508,W,194
200509,B,83
200509,L,74
200509,O,55
200509,U,35
200509,W,132
200510,B,85
200510,L,58
200510,O,49
200510,U,48
200510,W,89
200511,B,106
200511,L,89
200511,O,46
200511,U,39
200511,W,160
200512,B,86
200512,L,62
200512,O,55
200512,U,53
200512,W,160
200513,B,127
200513,L,111
200513,O,73
200513,U,70
200513,W,230
200514,B,174
200514,L,146
200514,O,97
200514,U,183
200514,W,254
200515,B,117
200515,L,69
200515,O,41
200515,U,58
200515,W,126
200516,B,75
200516,L,53
200516,O,55
200516,U,32
200516,W,127
200517,B,71
200517,L,48
200517,O,17
200517,U,40
200517,W,140
200518,B,80
200518,L,56
200518,O,29
200518,U,38
200518,W,152
200519,B,79
200519,L,100
200519,O,50
200519,U,61
200519,W,190
200520,B,128
200520,L,67
200520,O,50
200520,U,65
200520,W,179
200521,B,75
200521,L,74
200521,O,43
200521,U,30
200521,W,152
200522,B,77
200522,L,83
200522,O,43
200522,U,49
200522,W,134
200523,B,77
200523,L,53
200523,O,27
200523,U,46
200523,W,122
200524,B,71
200524,L,46
200524,O,22
200524,U,33
200524,W,55
200525,B,51
200525,L,27
200525,O,27
200525,U,24
200525,W,54
200526,B,63
200526,L,26
200526,O,24
200526,U,27
200526,W,74
200527,B,67
200527,L,59
200527,O,23
200527,U,28
200527,W,108
200528,B,62
200528,L,50
200528,O,38
200528,U,56
200528,W,128
200529,B,59
200529,L,57
200529,O,27
200529,U,76
200529,W,110
200530,B,42
200530,L,27
200530,O,13
200530,U,57
200530,W,58
200531,B,80
200531,L,34
200531,O,22
200531,U,64
200531,W,86
200601,B,34
200601,L,35
200601,O,18
200601,U,18
200601,W,38
200602,B,51
200602,L,50
200602,O,16
200602,U,56
200602,W,70
200603,B,33
200603,L,31
200603,O,29
200603,U,47
200603,W,56
200604,B,51
200604,L,29
200604,O,17
200604,U,27
200604,W,62
200605,B,39
200605,L,33
200605,O,28
200605,U,61
200605,W,69
200606,B,33
200606,L,29
200606,O,13
200606,U,36
200606,W,32
200607,B,19
200607,L,9
200607,O,9
200607,U,36
200607,W,23
200608,B,5
200608,L,4
200608,O,4
200608,U,34
200608,W,11
