date,status,daily,cumulative,weekly
200308,C,2,2,2
200308,CP,2,2,2
200309,C,5,7,7
200309,CP,6,8,8
200310,C,3,10,10
200310,CP,3,11,11
200311,C,10,20,20
200311,CP,10,21,21
200312,C,21,41,41
200312,CP,21,42,42
200313,C,33,74,74
200313,CP,37,79,79
200314,C,19,93,93
200314,CP,19,98,98
200315,C,29,122,120
200315,CP,30,128,126
200316,C,55,177,170
200316,CP,59,187,179
200317,C,99,276,266
200317,CP,108,295,284
200318,C,227,503,483
200318,CP,237,532,511
200319,C,256,759,718
200319,CP,261,793,751
200320,C,350,1109,1035
200320,CP,358,1151,1072
200321,C,214,1323,1230
200321,CP,221,1372,1274
200322,C,282,1605,1483
200322,CP,283,1655,1527
200323,C,397,2002,1825
200323,CP,407,2062,1875
200324,C,594,2596,2320
200324,CP,615,2677,2382
200325,C,517,3113,2610
200325,CP,538,3215,2683
200326,C,914,4027,3268
200326,CP,937,4152,3359
200327,C,1130,5157,4048
200327,CP,1193,5345,4194
200328,C,728,5885,4562
200328,CP,750,6095,4723
200329,C,1008,6893,5288
200329,CP,1029,7124,5469
200330,C,1175,8068,6066
200330,CP,1226,8350,6288
200331,C,1300,9368,6772
200331,CP,1351,9701,7024
200401,C,1292,10660,7547
200401,CP,1325,11026,7811
200402,C,1659,12319,8292
200402,CP,1696,12722,8570
200403,C,1505,13824,8667
200403,CP,1550,14272,8927
200404,C,1401,15225,9340
200404,CP,1431,15703,9608
200405,C,1414,16639,9746
200405,CP,1435,17138,10014
200406,C,1528,18167,10099
200406,CP,1564,18702,10352
200407,C,1174,19341,9973
200407,CP,1238,19940,10239
200408,C,1197,20538,9878
200408,CP,1265,21205,10179
200409,C,1199,21737,9418
200409,CP,1309,22514,9792
200410,C,1266,23003,9179
200410,CP,1341,23855,9583
200411,C,795,23798,8573
200411,CP,830,24685,8982
200412,C,892,24690,8051
200412,CP,905,25590,8452
200413,C,1124,25814,7647
200413,CP,1216,26806,8104
200414,C,912,26726,7385
200414,CP,979,27785,7845
200415,C,1412,28138,7600
200415,CP,1493,29278,8073
200416,C,963,29101,7364
200416,CP,1039,30317,7803
200417,C,925,30026,7023
200417,CP,1008,31325,7470
200418,C,470,30496,6698
200418,CP,510,31835,7150
200419,C,613,31109,6419
200419,CP,641,32476,6886
200420,C,883,31992,6178
200420,CP,945,33421,6615
200421,C,1086,33078,6352
200421,CP,1150,34571,6786
200422,C,1167,34245,6107
200422,CP,1208,35779,6501
200423,C,1207,35452,6351
200423,CP,1308,37087,6770
200424,C,964,36416,6390
200424,CP,1078,38165,6840
200425,C,437,36853,6357
200425,CP,463,38628,6793
200426,C,541,37394,6285
200426,CP,625,39253,6777
200427,C,730,38124,6132
200427,CP,784,40037,6616
200428,C,968,39092,6014
200428,CP,1035,41072,6501
200429,C,988,40080,5835
200429,CP,1058,42130,6351
200430,C,777,40857,5405
200430,CP,859,42989,5902
200501,C,896,41753,5337
200501,CP,954,43943,5778
200502,C,656,42409,5556
200502,CP,729,44672,6044
200503,C,394,42803,5409
200503,CP,445,45117,5864
200504,C,376,43179,5055
200504,CP,427,45544,5507
200505,C,595,43774,4682
200505,CP,641,46185,5113
200506,C,745,44519,4439
200506,CP,774,46959,4829
200507,C,607,45126,4269
200507,CP,731,47690,4701
200508,C,478,45604,3851
200508,CP,576,48266,4323
200509,C,382,45986,3577
200509,CP,442,48708,4036
200510,C,329,46315,3512
200510,CP,409,49117,4000
200511,C,446,46761,3582
200511,CP,545,49662,4118
200512,C,420,47181,3407
200512,CP,529,50191,4006
200513,C,622,47803,3284
200513,CP,762,50953,3994
200514,C,1281,49084,3958
200514,CP,1504,52457,4767
200515,C,463,49547,3943
200515,CP,626,53083,4817
200516,C,437,49984,3998
200516,CP,549,53632,4924
200517,C,825,50809,4494
200517,CP,928,54560,5443
200518,C,624,51433,4672
200518,CP,719,55279,5617
200519,C,543,51976,4795
200519,CP,630,55909,5718
200520,C,564,52540,4737
200520,CP,711,56620,5667
200521,C,423,52963,3879
200521,CP,611,57231,4774
200522,C,405,53368,3821
200522,CP,577,57808,4725
200523,C,337,53705,3721
200523,CP,456,58264,4632
200524,C,232,53937,3128
200524,CP,334,58598,4038
200525,C,183,54120,2687
200525,CP,222,58820,3541
200526,C,219,54339,2363
200526,CP,286,59106,3197
200527,C,318,54657,2117
200527,CP,402,59508,2888
200528,C,360,55017,2054
200528,CP,465,59973,2742
200529,C,480,55497,2129
200529,CP,612,60585,2777
200530,C,212,55709,2004
200530,CP,296,60881,2617
200531,C,298,56007,2070
200531,CP,387,61268,2670
200601,C,161,56168,2048
200601,CP,211,61479,2659
200602,C,251,56419,2080
200602,CP,331,61810,2704
200603,C,178,56597,1940
200603,CP,261,62071,2563
200604,C,194,56791,1774
200604,CP,312,62383,2410
200605,C,232,57023,1526
200605,CP,402,62785,2200
200606,C,141,57164,1455
200606,CP,225,63010,2129
200607,C,105,57269,1262
200607,CP,156,63166,1898
200608,C,127,57396,1228
200608,CP,198,63364,1885
200609,C,154,57550,1131
200609,CP,212,63576,1766
200610,C,178,57728,1131
200610,CP,219,63795,1724
200611,C,156,57884,1093
200611,CP,186,63981,1598
200612,C,122,58006,983
200612,CP,154,64135,1350
200613,C,215,58221,1057
200613,CP,244,64379,1369
200614,C,52,58273,1004
200614,CP,55,64434,1268
