index,date,weekly_c,weekly_cp,cumulative_c,cumulative_cp
344,200308,5,5,5,5
344,200309,5,5,5,5
413,200309,5,5,5,5
1091,200309,5,5,5,5
1135,200309,5,5,5,5
1198,200309,5,5,5,5
1258,200309,5,5,5,5
344,200310,5,5,5,5
413,200310,5,5,5,5
718,200310,5,5,5,5
1091,200310,5,5,5,5
1135,200310,5,5,5,5
1197,200310,5,5,5,5
1198,200310,5,5,5,5
1258,200310,5,5,5,5
344,200311,5,5,5,5
413,200311,5,5,5,5
610,200311,5,5,5,5
718,200311,5,5,5,5
1045,200311,5,5,5,5
1067,200311,5,5,5,5
1090,200311,5,5,5,5
1091,200311,5,5,5,5
1135,200311,5,5,5,5
1156,200311,5,5,5,5
1157,200311,5,5,5,5
1178,200311,5,5,5,5
1197,200311,5,5,5,5
1198,200311,5,5,5,5
1258,200311,5,5,5,5
1294,200311,5,5,5,5
1363,200311,5,5,5,5
253,200312,5,5,5,5
254,200312,5,5,5,5
344,200312,5,5,5,5
413,200312,5,5,5,5
523,200312,5,5,5,5
610,200312,5,5,5,5
718,200312,5,5,5,5
818,200312,5,5,5,5
1005,200312,5,5,5,5
1045,200312,5,5,5,5
1067,200312,5,5,5,5
1090,200312,5,5,5,5
1091,200312,5,5,5,5
1112,200312,5,5,5,5
1135,200312,5,5,5,5
1156,200312,5,5,5,5
1157,200312,5,5,5,5
1175,200312,5,5,5,5
1178,200312,5,5,5,5
1197,200312,5,5,5,5
1198,200312,5,5,5,5
1215,200312,5,5,5,5
1216,200312,5,5,5,5
1258,200312,5,5,5,5
1282,200312,5,5,5,5
1283,200312,5,5,5,5
1294,200312,5,5,5,5
1363,200312,5,5,5,5
181,200313,5,5,5,5
253,200313,5,5,5,5
254,200313,5,5,5,5
277,200313,5,5,5,5
299,200313,5,5,5,5
344,200313,5,5,5,5
413,200313,5,5,5,5
523,200313,5,5,5,5
610,200313,5,5,5,5
680,200313,5,5,5,5
718,200313,5,5,5,5
720,200313,5,5,5,5
818,200313,5,5,5,5
1005,200313,5,5,5,5
1045,200313,5,5,5,5
1067,200313,5,5,5,5
1090,200313,5,5,5,5
1091,200313,5,5,5,5
1112,200313,5,5,5,5
1115,200313,5,5,5,5
1135,200313,5,5,5,5
1156,200313,5,5,5,5
1157,200313,5,5,5,5
1175,200313,5,5,5,5
1178,200313,5,5,5,5
1194,200313,5,5,5,5
1197,200313,5,5,5,5
1198,200313,5,5,5,5
1215,200313,5,5,5,5
1216,200313,5,5,5,5
1229,200313,5,5,5,5
1231,200313,5,5,5,5
1232,200313,5,5,5,5
1244,200313,5,5,5,5
1245,200313,5,5,5,5
1258,200313,5,5,5,5
1271,200313,5,5,5,5
1282,200313,5,5,5,5
1283,200313,5,5,5,5
1294,200313,5,5,5,5
1295,200313,5,5,5,5
1306,200313,5,5,5,5
1307,200313,5,5,5,5
1308,200313,5,5,5,5
1363,200313,5,5,5,5
644,200313,,5,,5
181,200314,5,5,5,5
253,200314,5,5,5,5
254,200314,5,5,5,5
277,200314,5,5,5,5
299,200314,5,5,5,5
344,200314,5,5,5,5
374,200314,5,5,5,5
413,200314,5,5,5,5
523,200314,5,5,5,5
610,200314,5,5,5,5
680,200314,5,5,5,5
718,200314,5,5,5,5
720,200314,5,5,5,5
818,200314,5,5,5,5
1005,200314,5,5,5,5
1045,200314,5,5,5,5
1067,200314,5,5,5,5
1090,200314,5,5,5,5
1091,200314,5,5,5,5
1112,200314,5,5,5,5
1115,200314,5,5,5,5
1135,200314,5,5,5,5
1156,200314,5,5,5,5
1157,200314,5,5,5,5
1175,200314,5,5,5,5
1178,200314,5,5,5,5
1194,200314,5,5,5,5
1197,200314,5,5,5,5
1198,200314,5,5,5,5
1215,200314,5,5,5,5
1216,200314,5,5,5,5
1229,200314,5,5,5,5
1231,200314,5,5,5,5
1232,200314,5,5,5,5
1243,200314,5,5,5,5
1244,200314,5,5,5,5
1245,200314,5,5,5,5
1257,200314,5,5,5,5
1258,200314,5,5,5,5
1270,200314,5,5,5,5
