index,date,status,weekly,cumulative,weeklyrate,cumulativerate
479,200518,All,5,5,1,1
1362,200518,All,5,5,1,1
25,200519,All,5,5,1,1
25,200519,AtRisk,5,5,1,1
33,200519,All,5,5,1,1
37,200519,All,5,5,1,1
479,200519,All,5,5,1,1
947,200519,All,5,5,1,1
1362,200519,All,5,5,1,1
25,200520,All,5,5,1,1
25,200520,AtRisk,5,5,1,1
33,200520,All,5,5,1,1
37,200520,All,5,5,1,1
40,200520,All,5,5,1,1
321,200520,All,5,5,1,1
388,200520,All,5,5,1,1
479,200520,All,5,5,1,1
479,200520,AtRisk,5,5,1,1
588,200520,All,5,5,1,1
718,200520,All,5,5,1,1
718,200520,AtRisk,5,5,1,1
744,200520,All,5,5,1,1
745,200520,All,5,5,1,1
770,200520,All,5,5,1,1
797,200520,All,5,5,1,1
819,200520,All,5,5,1,1
822,200520,All,5,5,1,1
876,200520,All,5,5,1,1
947,200520,All,5,5,1,1
1022,200520,All,5,5,1,1
1045,200520,All,5,5,1,1
1067,200520,All,5,5,1,1
1090,200520,All,5,5,1,1
1111,200520,All,5,5,1,1
1135,200520,All,5,5,1,1
1156,200520,All,5,5,1,1
1157,200520,All,5,5,1,1
1177,200520,All,5,5,1,1
1178,200520,All,5,5,1,1
1180,200520,All,5,5,1,1
1194,200520,All,5,5,1,1
1198,200520,All,5,5,1,1
1199,200520,All,5,5,1,1
1213,200520,All,5,5,1,1
1214,200520,All,5,5,1,1
1215,200520,All,5,5,1,1
1218,200520,All,5,5,1,1
1231,200520,All,5,5,1,1
1232,200520,All,5,5,1,1
1242,200520,All,5,5,1,1
1244,200520,All,5,5,1,1
1245,200520,All,5,5,1,1
1257,200520,All,5,5,1,1
1270,200520,All,5,5,1,1
1272,200520,All,5,5,1,1
1282,200520,All,5,5,1,1
1283,200520,All,5,5,1,1
1285,200520,All,5,5,1,1
1294,200520,All,5,5,1,1
1295,200520,All,5,5,1,1
1305,200520,All,5,5,1,1
1307,200520,All,5,5,1,1
1329,200520,All,5,5,1,1
1362,200520,All,5,5,1,1
25,200521,All,5,5,1,1
25,200521,AtRisk,5,5,1,1
33,200521,All,5,5,1,1
37,200521,All,5,5,1,1
40,200521,All,5,5,1,1
321,200521,All,5,5,1,1
388,200521,All,5,5,1,1
479,200521,All,5,5,1,1
479,200521,AtRisk,5,5,1,1
588,200521,All,5,5,1,1
639,200521,All,5,5,1,1
718,200521,All,5,5,1,1
718,200521,AtRisk,5,5,1,1
719,200521,All,5,5,1,1
744,200521,All,5,5,1,1
745,200521,All,5,5,1,1
770,200521,All,8,8,1,1
770,200521,AtRisk,5,5,0.62,0.62
797,200521,All,5,5,1,1
797,200521,AtRisk,5,5,1,1
819,200521,All,5,5,1,1
822,200521,All,5,5,1,1
876,200521,All,5,5,1,1
947,200521,All,5,5,1,1
1022,200521,All,5,5,1,1
1045,200521,All,5,5,1,1
1049,200521,All,5,5,1,1
1067,200521,All,5,5,1,1
1090,200521,All,5,5,1,1
1111,200521,All,5,5,1,1
1117,200521,All,5,5,1,1
1135,200521,All,5,5,1,1
1136,200521,All,5,5,1,1
1156,200521,All,5,5,1,1
1157,200521,All,5,5,1,1
1177,200521,All,6,6,1,1
1178,200521,All,5,5,1,1
1180,200521,All,5,5,1,1
1194,200521,All,5,5,1,1
1198,200521,All,5,5,1,1
1199,200521,All,5,5,1,1
1213,200521,All,5,5,1,1
1214,200521,All,5,5,1,1
1215,200521,All,5,5,1,1
1218,200521,All,5,5,1,1
1231,200521,All,5,5,1,1
1232,200521,All,5,5,1,1
1242,200521,All,5,5,1,1
1244,200521,All,5,5,1,1
1245,200521,All,5,5,1,1
1257,200521,All,5,5,1,1
1270,200521,All,5,5,1,1
1272,200521,All,5,5,1,1
1282,200521,All,5,5,1,1
1283,200521,All,5,5,1,1
1284,200521,All,5,5,1,1
1285,200521,All,5,5,1,1
1294,200521,All,5,5,1,1
1295,200521,All,5,5,1,1
1305,200521,All,5,5,1,1
1307,200521,All,5,5,1,1
1329,200521,All,5,5,1,1
1362,200521,All,5,5,1,1
25,200522,All,5,5,1,1
25,200522,AtRisk,5,5,1,1
33,200522,All,5,5,1,1
37,200522,All,5,5,1,1
40,200522,All,5,5,1,1
277,200522,All,5,5,1,1
321,200522,All,5,5,1,1
388,200522,All,5,5,1,1
479,200522,All,5,5,1,1
479,200522,AtRisk,5,5,1,1
588,200522,All,5,5,1,1
613,200522,All,5,5,1,1
639,200522,All,5,5,1,1
691,200522,All,5,5,1,1
691,200522,AtRisk,5,5,1,1
718,200522,All,15,15,1,1
718,200522,AtRisk,5,5,0.33,0.33
719,200522,All,5,5,1,1
744,200522,All,5,5,1,1
745,200522,All,9,9,1,1
745,200522,AtRisk,5,5,0.56,0.56
769,200522,All,5,5,1,1
770,200522,All,16,16,1,1
770,200522,AtRisk,5,5,0.31,0.31
797,200522,All,5,5,1,1
797,200522,AtRisk,5,5,1,1
819,200522,All,5,5,1,1
822,200522,All,5,5,1,1
875,200522,All,5,5,1,1
876,200522,All,5,5,1,1
947,200522,All,5,5,1,1
954,200522,All,5,5,1,1
998,200522,All,5,5,1,1
999,200522,All,5,5,1,1
1022,200522,All,5,5,1,1
1044,200522,All,5,5,1,1
1045,200522,All,5,5,1,1
1049,200522,All,5,5,1,1
1067,200522,All,5,5,1,1
1090,200522,All,5,5,1,1
1094,200522,All,5,5,1,1
1111,200522,All,5,5,1,1
1117,200522,All,5,5,1,1
1135,200522,All,5,5,1,1
1136,200522,All,5,5,1,1
1156,200522,All,8,8,1,1
1157,200522,All,5,5,1,1
1177,200522,All,9,9,1,1
1178,200522,All,5,5,1,1
1180,200522,All,5,5,1,1
1194,200522,All,8,8,1,1
1198,200522,All,6,6,1,1
1199,200522,All,5,5,1,1
1213,200522,All,5,5,1,1
1214,200522,All,6,6,1,1
1215,200522,All,5,5,1,1
1218,200522,All,5,5,1,1
1231,200522,All,5,5,1,1
1232,200522,All,5,5,1,1
1242,200522,All,5,5,1,1
1244,200522,All,6,6,1,1
1245,200522,All,6,6,1,1
1257,200522,All,5,5,1,1
1270,200522,All,5,5,1,1
1272,200522,All,5,5,1,1
1282,200522,All,5,5,1,1
1283,200522,All,5,5,1,1
1284,200522,All,5,5,1,1
1285,200522,All,5,5,1,1
1294,200522,All,5,5,1,1
1295,200522,All,5,5,1,1
1305,200522,All,5,5,1,1
1307,200522,All,5,5,1,1
1329,200522,All,5,5,1,1
1362,200522,All,5,5,1,1
25,200523,All,5,5,1,1
25,200523,AtRisk,5,5,1,1
33,200523,All,5,5,1,1
37,200523,All,5,5,1,1
40,200523,All,5,5,1,1
277,200523,All,5,5,1,1
321,200523,All,5,5,1,1
388,200523,All,5,5,1,1
479,200523,All,5,5,1,1
479,200523,AtRisk,5,5,1,1
588,200523,All,5,5,1,1
613,200523,All,5,5,1,1
639,200523,All,5,5,1,1
691,200523,All,5,5,1,1
691,200523,AtRisk,5,5,1,1
718,200523,All,16,16,1,1
718,200523,AtRisk,5,5,0.31,0.31
719,200523,All,5,5,1,1
744,200523,All,5,5,1,1
745,200523,All,9,9,1,1
745,200523,AtRisk,5,5,0.56,0.56
769,200523,All,5,5,1,1
770,200523,All,16,16,1,1
770,200523,AtRisk,5,5,0.31,0.31
797,200523,All,5,5,1,1
797,200523,AtRisk,5,5,1,1
819,200523,All,5,5,1,1
822,200523,All,5,5,1,1
875,200523,All,5,5,1,1
876,200523,All,5,5,1,1
947,200523,All,5,5,1,1
954,200523,All,5,5,1,1
998,200523,All,5,5,1,1
999,200523,All,5,5,1,1
1022,200523,All,5,5,1,1
1044,200523,All,5,5,1,1
1045,200523,All,5,5,1,1
1049,200523,All,5,5,1,1
1067,200523,All,5,5,1,1
1090,200523,All,5,5,1,1
1094,200523,All,5,5,1,1
1111,200523,All,5,5,1,1
1117,200523,All,5,5,1,1
1135,200523,All,5,5,1,1
1136,200523,All,5,5,1,1
1156,200523,All,8,8,1,1
1157,200523,All,5,5,1,1
1177,200523,All,10,10,1,1
1178,200523,All,5,5,1,1
1180,200523,All,5,5,1,1
1194,200523,All,10,10,1,1
1198,200523,All,6,6,1,1
1199,200523,All,5,5,1,1
1213,200523,All,5,5,1,1
1214,200523,All,6,6,1,1
1215,200523,All,5,5,1,1
1218,200523,All,5,5,1,1
1231,200523,All,5,5,1,1
1232,200523,All,5,5,1,1
1242,200523,All,5,5,1,1
1244,200523,All,6,6,1,1
1245,200523,All,6,6,1,1
1257,200523,All,5,5,1,1
1270,200523,All,5,5,1,1
1272,200523,All,5,5,1,1
1282,200523,All,5,5,1,1
1283,200523,All,5,5,1,1
1284,200523,All,5,5,1,1
1285,200523,All,5,5,1,1
1294,200523,All,6,6,1,1
1295,200523,All,5,5,1,1
1305,200523,All,5,5,1,1
1307,200523,All,5,5,1,1
1329,200523,All,5,5,1,1
1362,200523,All,5,5,1,1
25,200524,All,5,5,1,1
25,200524,AtRisk,5,5,1,1
33,200524,All,5,5,1,1
37,200524,All,5,5,1,1
40,200524,All,5,5,1,1
277,200524,All,5,5,1,1
321,200524,All,5,5,1,1
388,200524,All,5,5,1,1
479,200524,All,5,5,1,1
479,200524,AtRisk,5,5,1,1
588,200524,All,5,5,1,1
613,200524,All,5,5,1,1
639,200524,All,5,5,1,1
691,200524,All,5,5,1,1
691,200524,AtRisk,5,5,1,1
718,200524,All,16,16,1,1
718,200524,AtRisk,5,5,0.31,0.31
719,200524,All,5,5,1,1
744,200524,All,5,5,1,1
745,200524,All,9,9,1,1
745,200524,AtRisk,5,5,0.56,0.56
769,200524,All,5,5,1,1
770,200524,All,16,16,1,1
770,200524,AtRisk,5,5,0.31,0.31
797,200524,All,5,5,1,1
797,200524,AtRisk,5,5,1,1
819,200524,All,5,5,1,1
822,200524,All,5,5,1,1
875,200524,All,5,5,1,1
876,200524,All,5,5,1,1
926,200524,All,5,5,1,1
947,200524,All,5,5,1,1
954,200524,All,5,5,1,1
998,200524,All,5,5,1,1
999,200524,All,5,5,1,1
1022,200524,All,5,5,1,1
1044,200524,All,5,5,1,1
1045,200524,All,5,5,1,1
1049,200524,All,5,5,1,1
1067,200524,All,5,5,1,1
1090,200524,All,5,5,1,1
1094,200524,All,5,5,1,1
1111,200524,All,5,5,1,1
1117,200524,All,5,5,1,1
1135,200524,All,5,5,1,1
1136,200524,All,5,5,1,1
1156,200524,All,8,8,1,1
1157,200524,All,5,5,1,1
1177,200524,All,11,11,1,1
1178,200524,All,5,5,1,1
1180,200524,All,5,5,1,1
1194,200524,All,12,12,1,1
1198,200524,All,6,6,1,1
1199,200524,All,5,5,1,1
1213,200524,All,5,5,1,1
1214,200524,All,6,6,1,1
1215,200524,All,5,5,1,1
1218,200524,All,5,5,1,1
1231,200524,All,5,5,1,1
1232,200524,All,5,5,1,1
1242,200524,All,5,5,1,1
1244,200524,All,7,7,1,1
1245,200524,All,6,6,1,1
1257,200524,All,5,5,1,1
1270,200524,All,5,5,1,1
1272,200524,All,5,5,1,1
1282,200524,All,5,5,1,1
1283,200524,All,5,5,1,1
1284,200524,All,5,5,1,1
1285,200524,All,5,5,1,1
1294,200524,All,7,7,1,1
1295,200524,All,5,5,1,1
1305,200524,All,5,5,1,1
1307,200524,All,5,5,1,1
1329,200524,All,5,5,1,1
1362,200524,All,5,5,1,1
1588,200524,All,5,5,1,1
25,200525,All,5,5,1,1
25,200525,AtRisk,5,5,1,1
33,200525,All,5,5,1,1
37,200525,All,5,5,1,1
40,200525,All,5,5,1,1
277,200525,All,5,5,1,1
321,200525,All,5,5,1,1
388,200525,All,5,5,1,1
479,200525,All,5,5,1,1
479,200525,AtRisk,5,5,1,1
588,200525,All,5,5,1,1
613,200525,All,5,5,1,1
639,200525,All,5,5,1,1
691,200525,All,5,5,1,1
691,200525,AtRisk,5,5,1,1
718,200525,All,16,16,1,1
718,200525,AtRisk,5,5,0.31,0.31
719,200525,All,5,5,1,1
744,200525,All,5,5,1,1
745,200525,All,9,9,1,1
745,200525,AtRisk,5,5,0.56,0.56
769,200525,All,5,5,1,1
770,200525,All,16,16,1,1
770,200525,AtRisk,5,5,0.31,0.31
797,200525,All,5,5,1,1
797,200525,AtRisk,5,5,1,1
819,200525,All,5,5,1,1
822,200525,All,5,5,1,1
875,200525,All,5,5,1,1
876,200525,All,5,5,1,1
926,200525,All,5,5,1,1
947,200525,All,5,5,1,1
954,200525,All,5,5,1,1
998,200525,All,5,5,1,1
999,200525,All,5,5,1,1
1022,200525,All,5,5,1,1
1044,200525,All,5,5,1,1
1045,200525,All,5,5,1,1
1049,200525,All,5,5,1,1
1067,200525,All,5,5,1,1
1090,200525,All,5,5,1,1
1094,200525,All,5,5,1,1
1111,200525,All,5,5,1,1
1117,200525,All,5,5,1,1
1135,200525,All,5,5,1,1
1136,200525,All,5,5,1,1
1156,200525,All,8,8,1,1
1157,200525,All,5,5,1,1
1177,200525,All,11,11,1,1
1178,200525,All,5,5,1,1
1180,200525,All,5,5,1,1
1194,200525,All,12,12,1,1
1198,200525,All,7,7,1,1
1199,200525,All,5,5,1,1
1213,200525,All,5,5,1,1
1214,200525,All,6,6,1,1
1215,200525,All,5,5,1,1
1218,200525,All,5,5,1,1
1231,200525,All,5,5,1,1
1232,200525,All,5,5,1,1
1242,200525,All,5,5,1,1
1244,200525,All,7,7,1,1
1245,200525,All,6,6,1,1
1257,200525,All,5,5,1,1
1270,200525,All,5,5,1,1
1272,200525,All,5,5,1,1
1282,200525,All,5,5,1,1
1283,200525,All,5,5,1,1
1284,200525,All,5,5,1,1
1285,200525,All,5,5,1,1
1294,200525,All,7,7,1,1
1295,200525,All,5,5,1,1
1305,200525,All,5,5,1,1
1307,200525,All,5,5,1,1
1329,200525,All,5,5,1,1
1362,200525,All,,5,,1
1588,200525,All,5,5,1,1
25,200526,All,,5,,1
25,200526,AtRisk,,5,,1
33,200526,All,5,5,1,1
37,200526,All,,5,,1
40,200526,All,5,5,1,1
46,200526,All,5,5,1,1
277,200526,All,5,5,1,1
321,200526,All,5,5,1,1
388,200526,All,5,5,1,1
479,200526,All,6,7,1,1
479,200526,AtRisk,5,5,0.83,0.71
560,200526,All,5,5,1,1
588,200526,All,5,5,1,1
613,200526,All,5,5,1,1
639,200526,All,5,5,1,1
691,200526,All,5,5,1,1
691,200526,AtRisk,5,5,1,1
718,200526,All,21,21,1,1
718,200526,AtRisk,5,5,0.24,0.24
719,200526,All,5,5,1,1
720,200526,All,5,5,1,1
744,200526,All,5,5,1,1
745,200526,All,13,13,1,1
745,200526,AtRisk,5,5,0.38,0.38
769,200526,All,5,5,1,1
770,200526,All,19,19,1,1
770,200526,AtRisk,5,5,0.26,0.26
773,200526,All,5,5,1,1
773,200526,AtRisk,5,5,1,1
797,200526,All,5,5,1,1
797,200526,AtRisk,5,5,1,1
819,200526,All,5,5,1,1
822,200526,All,7,7,1,1
875,200526,All,5,5,1,1
876,200526,All,5,5,1,1
926,200526,All,5,5,1,1
947,200526,All,5,5,1,1
954,200526,All,5,5,1,1
969,200526,All,5,5,1,1
998,200526,All,5,5,1,1
999,200526,All,5,5,1,1
1022,200526,All,5,5,1,1
1044,200526,All,5,5,1,1
1045,200526,All,5,5,1,1
1049,200526,All,5,5,1,1
1051,200526,All,5,5,1,1
1067,200526,All,5,5,1,1
1090,200526,All,5,5,1,1
1094,200526,All,5,5,1,1
1111,200526,All,5,5,1,1
1117,200526,All,5,5,1,1
1135,200526,All,5,5,1,1
1136,200526,All,5,5,1,1
1156,200526,All,8,8,1,1
1157,200526,All,5,5,1,1
1177,200526,All,14,14,1,1
1178,200526,All,5,5,1,1
1180,200526,All,5,5,1,1
1194,200526,All,15,15,1,1
1198,200526,All,8,8,1,1
1199,200526,All,5,5,1,1
1213,200526,All,6,6,1,1
1214,200526,All,8,8,1,1
1215,200526,All,5,5,1,1
1218,200526,All,5,5,1,1
1231,200526,All,5,5,1,1
1232,200526,All,5,5,1,1
1242,200526,All,6,6,1,1
1244,200526,All,10,10,1,1
1245,200526,All,7,7,1,1
1257,200526,All,5,5,1,1
1270,200526,All,5,5,1,1
1272,200526,All,6,6,1,1
1282,200526,All,5,5,1,1
1283,200526,All,5,5,1,1
1284,200526,All,5,5,1,1
1285,200526,All,5,5,1,1
1294,200526,All,8,8,1,1
1295,200526,All,5,5,1,1
1305,200526,All,5,5,1,1
1307,200526,All,5,5,1,1
1329,200526,All,5,5,1,1
1362,200526,All,,5,,1
1588,200526,All,5,5,1,1
